effect,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
hihat_power ferme,13.0187,-1.77683,-0.54305,-0.392981,-0.257241,-0.319697,-0.570548,-0.360481,-0.268566,-0.107365,-0.0556508,-0.120102,-0.0611893
hihat_power ferme,11.857,-1.61768,-0.350913,-0.35571,-0.287685,-0.340706,-0.527007,-0.327207,-0.226939,-0.139851,-0.0546764,-0.0864621,-0.0819068
hihat_humming,12.0291,-1.52793,-0.390187,-0.265154,-0.302775,-0.353707,-0.508587,-0.314778,-0.275753,-0.157051,-0.0350653,-0.114986,-0.120733
hihat_power ferme,11.0227,-1.822,-0.557563,-0.346598,-0.184413,-0.184685,-0.356433,-0.296371,-0.224868,-0.165437,-0.0259471,-0.0348178,-0.053467
hihat_power ferme,12.925,-1.53849,-0.49956,-0.317291,-0.323439,-0.39327,-0.610054,-0.334121,-0.200457,-0.143079,-0.0384433,-0.0866759,-0.099345
hihat_power ferme,12.9117,-1.63428,-0.408797,-0.298353,-0.236768,-0.358218,-0.703572,-0.410015,-0.251329,-0.19862,-0.15505,-0.166592,-0.109381
hihat_power ferme,11.1647,-1.65532,-0.494496,-0.456933,-0.236887,-0.11025,-0.366435,-0.396332,-0.344618,-0.141372,0.0361716,-0.0825803,-0.0641905
hihat_power ferme,11.8109,-1.8606,-0.428914,-0.236749,-0.194674,-0.244171,-0.457417,-0.376202,-0.248419,-0.185405,-0.109361,-0.123699,-0.121931
hihat_power ferme,11.3257,-1.62481,-0.341387,-0.291592,-0.277871,-0.419915,-0.498102,-0.354883,-0.271603,-0.160652,-0.0723365,-0.101687,-0.0767519
hihat_power ferme,12.3375,-1.75241,-0.503658,-0.410997,-0.0983164,-0.212235,-0.679143,-0.391267,-0.258779,-0.141772,-0.0791487,-0.159905,-0.0813722
hihat_power ferme,11.6037,-1.809,-0.439386,-0.283916,-0.116192,-0.323697,-0.579856,-0.389857,-0.218501,-0.0760507,-0.0628469,-0.0957874,-0.100511
hihat_power ferme,12.231,-2.00592,-0.451258,-0.345003,-0.194822,-0.326925,-0.550559,-0.285992,-0.230132,-0.176043,-0.0447371,-0.0501334,-0.128418
hihat_power ferme,11.6636,-1.61556,-0.300435,-0.373322,-0.273427,-0.353268,-0.607272,-0.369971,-0.204387,-0.140408,-0.121509,-0.0948523,-0.0762576
hihat_power ferme,11.0124,-1.69628,-0.391545,-0.380451,-0.146297,-0.30462,-0.487777,-0.35447,-0.136437,-0.103594,-0.0709809,-0.0522945,-0.138182
hihat_power ferme,11.7543,-1.65722,-0.29743,-0.322951,-0.20831,-0.331867,-0.659556,-0.441132,-0.297816,-0.144688,-0.064324,-0.0933255,-0.12034
hihat_power ferme,11.7614,-1.82371,-0.306892,-0.248215,-0.275083,-0.445015,-0.451479,-0.291538,-0.183694,-0.225553,-0.10297,-0.0122372,-0.0633191
hihat_power ferme,11.2375,-1.47668,-0.326465,-0.402929,-0.306055,-0.445493,-0.524622,-0.311106,-0.236499,-0.243339,-0.114753,-0.0921404,-0.109099
hihat_power ouvert,12.3191,-1.7901,-0.40254,-0.400299,-0.373779,-0.429956,-0.590243,-0.249473,-0.252714,-0.191979,-0.128258,-0.0632226,0.01119
hihat_power ouvert,12.2486,-1.92052,-0.499477,-0.282847,-0.358252,-0.471802,-0.538177,-0.201467,-0.226036,-0.224685,-0.110748,-0.060725,0.00208794
hihat_power ouvert,12.0043,-1.8341,-0.432097,-0.340599,-0.34547,-0.456694,-0.585007,-0.23074,-0.21433,-0.22455,-0.122369,-0.0624581,0.0266826
hihat_power ouvert,12.5942,-1.82873,-0.456187,-0.347363,-0.36429,-0.491195,-0.634055,-0.193751,-0.268448,-0.210093,-0.136358,-0.0730664,0.0452923
hihat_power ouvert,12.4898,-1.95425,-0.414792,-0.435291,-0.314227,-0.497301,-0.545192,-0.178255,-0.247459,-0.221783,-0.156379,-0.0733277,0.0577429
hihat_power ouvert,12.221,-1.86995,-0.475585,-0.376481,-0.343738,-0.484376,-0.576236,-0.137474,-0.286293,-0.210215,-0.118155,-0.0953767,0.0358602
hihat_power ouvert,12.3072,-1.91084,-0.470067,-0.425594,-0.35475,-0.444032,-0.605609,-0.128722,-0.263803,-0.20032,-0.0953166,-0.0963541,0.0344183
hihat_power ouvert,11.9734,-1.83525,-0.501939,-0.345877,-0.289056,-0.407668,-0.571304,-0.150917,-0.263099,-0.205257,-0.119657,-0.0911531,0.00322515
hihat_power ouvert,12.7984,-1.95219,-0.378314,-0.503187,-0.362645,-0.44945,-0.603621,-0.205546,-0.247219,-0.20374,-0.134365,-0.085724,0.0371841
hihat_power ouvert,12.5639,-1.89812,-0.421412,-0.429244,-0.315527,-0.403673,-0.620202,-0.188459,-0.27075,-0.19315,-0.116592,-0.108802,0.0143349
hihat_power ouvert,12.2353,-1.91224,-0.426836,-0.450342,-0.27294,-0.383428,-0.594262,-0.148642,-0.279105,-0.226733,-0.116039,-0.0831267,0.0166893
hihat_power ouvert,11.8921,-1.87709,-0.494963,-0.352414,-0.245245,-0.356455,-0.597534,-0.165351,-0.284278,-0.13637,-0.105247,-0.107813,0.0026272
hihat_power ouvert,12.8106,-1.94513,-0.419639,-0.514258,-0.290393,-0.468979,-0.625853,-0.199927,-0.234504,-0.204202,-0.139282,-0.100448,0.030831
hihat_power ouvert,12.4306,-1.89923,-0.449224,-0.47117,-0.255855,-0.41271,-0.638932,-0.208125,-0.249343,-0.177469,-0.104928,-0.10119,0.0303597
hihat_power ouvert,12.0612,-1.84953,-0.457682,-0.464128,-0.257037,-0.395646,-0.62986,-0.185905,-0.254182,-0.175708,-0.11092,-0.0952602,0.0254537
hihat_power ouvert,12.4926,-1.8396,-0.449543,-0.452544,-0.281989,-0.457059,-0.662768,-0.180808,-0.223701,-0.201408,-0.145682,-0.0857718,0.0559207
hihat_power ouvert,12.8693,-1.87377,-0.433353,-0.566125,-0.335462,-0.395178,-0.646401,-0.223529,-0.254265,-0.185127,-0.127903,-0.103948,0.0369557
hihat_power ouvert,12.617,-1.92795,-0.442329,-0.524955,-0.29862,-0.412574,-0.622957,-0.189682,-0.229006,-0.188043,-0.128994,-0.0913984,0.0395856
hihat_power ouvert,12.2184,-1.87272,-0.510546,-0.49035,-0.245551,-0.351555,-0.641044,-0.177711,-0.248087,-0.192069,-0.122282,-0.103637,0.0147371
hihat_power ouvert,12.1314,-1.86184,-0.403076,-0.44609,-0.322228,-0.406879,-0.604472,-0.190708,-0.256366,-0.175433,-0.109512,-0.0758783,0.0198248
hihat_power ouvert,12.9181,-1.90104,-0.464585,-0.517672,-0.335224,-0.424047,-0.617083,-0.248394,-0.274591,-0.178,-0.121594,-0.111701,0.0165835
hihat_power ouvert,12.6363,-1.80709,-0.443812,-0.532891,-0.296164,-0.409588,-0.635312,-0.231874,-0.275793,-0.19488,-0.14136,-0.115681,0.0177943
hihat_power ouvert,12.5151,-1.89975,-0.475304,-0.507529,-0.258353,-0.414486,-0.626802,-0.20881,-0.255027,-0.180778,-0.127776,-0.0865207,0.0281103
hihat_power ouvert,12.2558,-1.82861,-0.421343,-0.515821,-0.260182,-0.363974,-0.623137,-0.186397,-0.248546,-0.206846,-0.148309,-0.0813753,0.0118649
kick_humming,12.1591,-0.155742,-0.285788,-0.409741,-0.43458,-0.545167,-0.308018,-0.380507,-0.454246,-0.221041,-0.0955826,-0.0893782,-0.0263657
kick_humming,10.8278,-0.679156,-0.188813,-0.217984,-0.170762,-0.305348,-0.419039,-0.367432,-0.316342,-0.206485,-0.128312,-0.0398313,-0.112661
kick_humming,12.8622,-0.54526,-0.471835,-0.24277,-0.337951,-0.557785,-0.370119,-0.433362,-0.411088,-0.207366,-0.217848,-0.0805868,0.0205062
kick_humming,10.4433,-0.671364,-0.28488,-0.227307,-0.244001,-0.261509,-0.24188,-0.34535,-0.311112,-0.186999,-0.0713702,-0.138016,-0.0447057
kick_humming,10.5843,-0.701876,-0.241486,-0.403541,-0.25918,-0.246806,-0.201108,-0.248758,-0.287694,-0.216562,-0.183896,-0.0134131,0.0123783
kick_humming,13.1085,-0.430313,-0.469375,-0.371295,-0.372689,-0.645275,-0.345894,-0.410461,-0.448818,-0.246909,-0.0697235,-0.0789037,-0.0142076
kick_humming,12.9785,-0.0356491,-0.609732,-0.461992,-0.552719,-0.670887,-0.369268,-0.400153,-0.422376,-0.17553,-0.146289,-0.0532872,-0.0618054
kick_humming,11.128,-0.277964,-0.220136,-0.197445,-0.190321,-0.42797,-0.317847,-0.417613,-0.392253,-0.24425,-0.195285,-0.123415,-0.0622302
kick_humming,10.5275,-0.909954,-0.269794,-0.354486,-0.124138,-0.277727,-0.143105,-0.243078,-0.381129,-0.190252,-0.152963,-0.0627519,-0.0501813
kick_humming,13.3448,-0.0310793,-0.612549,-0.524559,-0.413403,-0.514478,-0.455815,-0.457705,-0.396904,-0.29218,-0.111814,-0.0897104,-0.0581551
kick_humming,12.6579,-0.0793563,-0.507143,-0.329474,-0.434181,-0.544317,-0.324161,-0.474542,-0.438959,-0.238337,-0.161707,-0.119016,-0.0562632
kick_humming,11.1979,-0.311469,-0.365507,-0.276719,-0.246018,-0.443267,-0.29112,-0.377512,-0.372399,-0.195982,-0.142219,-0.140007,-0.0434665
kick_humming,11.3456,-0.0438261,-0.36524,-0.335286,-0.235398,-0.467924,-0.34487,-0.412861,-0.463987,-0.259862,-0.136303,-0.154813,-0.0246222
kick_humming,11.9494,-0.121855,-0.418825,-0.382493,-0.282205,-0.560081,-0.328229,-0.394589,-0.449458,-0.21115,-0.184791,-0.0881194,-0.075855
